Cell_line	CI.05	CI.95	mean	penetrance
ZR751_BREAST	-4.301844204	-4.301844204	-4.301844204	0
KMRC3_KIDNEY	-4.0841437	-4.0841437	-4.0841437	0
RD_SOFT_TISSUE	-3.811078599	-3.811078599	-3.811078599	0
NCIH2077_LUNG	-3.059352624	-1.33809752	-1.789966719	0.571428571
CL34_LARGE_INTESTINE	-4.390934182	-4.390934182	-4.390934182	0
NCIH2087_LUNG	-3.62989655	-3.62989655	-3.62989655	0
NCIH1944_LUNG	-3.902731712	-0.742254868	-1.21877628	0.071428571
253JBV_URINARY_TRACT	-3.910960349	-3.910960349	-3.910960349	0
786O_KIDNEY	-3.778272675	-3.778272675	-3.778272675	0
IGROV1_OVARY	-3.716555762	-3.202944792	-3.472447431	0.071428571
LOVO_LARGE_INTESTINE	-3.756803	-3.756803	-3.756803	0
LOXIMVI_SKIN	-1.007469262	-0.097309059	-0.369424254	0.714285714
SW48_LARGE_INTESTINE	-3.077972971	-3.077972971	-3.077972971	0
HPAC_PANCREAS	-0.854986248	-0.326520736	-0.533119964	0.714285714
BXPC3_PANCREAS	-1.875220359	-0.94781259	-1.236692243	0.285714286
HUH7_LIVER	-3.91063418	-3.91063418	-3.91063418	0
KP2_PANCREAS	-3.590368237	-3.590368237	-3.590368237	0
FTC238_THYROID	-3.492889403	-3.492889403	-3.492889403	0
H4_CENTRAL_NERVOUS_SYSTEM	-3.335459386	-3.335459386	-3.335459386	0
KMBC2_URINARY_TRACT	-3.536633305	-1.551771839	-2.009367529	0.285714286
ONS76_CENTRAL_NERVOUS_SYSTEM	-3.925810383	-3.925810383	-3.925810383	0
PATU8988T_PANCREAS	-3.457221399	-1.287995688	-1.66994688	0.357142857
253J_URINARY_TRACT	-3.90472085	-3.39110988	-3.660612519	0.071428571
639V_URINARY_TRACT	-4.171585544	-4.171585544	-4.171585544	0
CHL1_SKIN	-3.725475901	-3.725475901	-3.725475901	0
HCT116_LARGE_INTESTINE	-1.543119675	0.963906443	0.490975178	0.928571429
KU1919_URINARY_TRACT	-0.572531477	2.184804726	1.72875369	1
HCT15_LARGE_INTESTINE	-4.295748275	-3.553344603	-3.896310608	0.071428571
HT29_LARGE_INTESTINE	-1.417221969	-0.719465048	-0.977841522	0.5
MCAS_OVARY	-3.627757307	-1.69257447	-2.153416872	0.214285714
SUIT2_PANCREAS	-1.595738921	-0.746259303	-1.013115988	0.857142857
TE8_OESOPHAGUS	-3.994180231	-3.994180231	-3.994180231	0
CJM_SKIN	-3.484846683	-3.484846683	-3.484846683	0
SNU398_LIVER	-3.901178281	-3.901178281	-3.901178281	0
SNUC5_LARGE_INTESTINE	-3.752597857	-0.432042483	-0.907342985	0.142857143
NCIH1651_LUNG	-3.519653389	-3.519653389	-3.519653389	0
HCC78_LUNG	-3.991299328	-3.991299328	-3.991299328	0
LK2_LUNG	-3.958085082	-3.160109787	-3.444474112	0.142857143
SW780_URINARY_TRACT	-3.637918319	-3.637918319	-3.637918319	0
TE4_OESOPHAGUS	-2.917860903	-0.421917598	-0.896275169	0.071428571
RKN_SOFT_TISSUE	-3.766914016	0.031823492	-0.444951551	0.142857143
WM983B_SKIN	-3.716698391	-1.114617205	-1.504239955	0.214285714
KNS62_LUNG	-3.398533236	-3.398533236	-3.398533236	0
LN229_CENTRAL_NERVOUS_SYSTEM	-1.282960798	0.026610175	-0.340832378	0.285714286
A673_BONE	-2.574760182	-0.825907482	-1.161260527	0.428571429
DU145_PROSTATE	-1.726545166	-0.433547372	-0.734417438	0.214285714
T98G_CENTRAL_NERVOUS_SYSTEM	-3.846398012	-3.846398012	-3.846398012	0
COLO783_SKIN	-3.791922639	-3.791922639	-3.791922639	0
HCC1438_LUNG	-3.569167568	-3.569167568	-3.569167568	0
HCC44_LUNG	-4.027753511	-4.027753511	-4.027753511	0
JHH5_LIVER	-3.531791206	-3.531791206	-3.531791206	0
NCIH838_LUNG	-3.987488907	-3.987488907	-3.987488907	0
BFTC905_URINARY_TRACT	-3.699563232	-2.767943651	-3.095631974	0.142857143
HEC265_ENDOMETRIUM	-1.084729066	-0.294549416	-0.562440218	0.285714286
HSC2_UPPER_AERODIGESTIVE_TRACT	-3.914316499	-0.985098007	-1.461198122	0.071428571
OC314_OVARY	-3.899842331	-3.899842331	-3.899842331	0
OE33_OESOPHAGUS	-4.120708766	-4.120708766	-4.120708766	0
FADU_UPPER_AERODIGESTIVE_TRACT	-3.916038611	-3.916038611	-3.916038611	0
MG63_BONE	-3.684815584	-3.684815584	-3.684815584	0
NB1_AUTONOMIC_GANGLIA	-2.984972291	-1.830269594	-2.169860707	0.285714286
SF126_CENTRAL_NERVOUS_SYSTEM	-3.37003271	-3.37003271	-3.37003271	0
SNU1066_UPPER_AERODIGESTIVE_TRACT	-3.69044995	-3.69044995	-3.69044995	0
CAL120_BREAST	-3.971903836	-1.574094213	-2.047753901	0.071428571
LXF289_LUNG	-3.809159365	-3.809159365	-3.809159365	0
MEWO_SKIN	-1.880396205	-0.31553291	-0.688795799	0.214285714
SNGM_ENDOMETRIUM	-4.079818679	-1.596608284	-2.058232945	0.142857143
TT_OESOPHAGUS	-3.987215451	-3.473604481	-3.74310712	0.071428571
ECGI10_OESOPHAGUS	-4.128944602	-4.128944602	-4.128944602	0
JMSU1_URINARY_TRACT	-2.591119377	-1.379705687	-1.745945223	0.5
CFPAC1_PANCREAS	-0.943656776	-0.00704685	-0.306100108	0.357142857
ACHN_KIDNEY	-3.682614763	-2.168314669	-2.619639923	0.071428571
CAL51_BREAST	-4.162728847	-2.122831923	-2.583384518	0.142857143
HCC15_LUNG	-3.658223592	-3.658223592	-3.658223592	0
KMRC20_KIDNEY	-4.159736017	-4.159736017	-4.159736017	0
NCIH1648_LUNG	-4.08589078	-3.343487108	-3.686453114	0.071428571
MHHNB11_AUTONOMIC_GANGLIA	-3.031145485	-3.031145485	-3.031145485	0
K029AX_SKIN	-2.025328917	-0.286484201	-0.682610126	0.5
T3M10_LUNG	-1.272702516	0.125112749	-0.275805499	0.571428571
NCIH2122_LUNG	-2.605621637	0.691191749	0.21617148	0.428571429
HCC95_LUNG	-4.026339276	-4.026339276	-4.026339276	0
MDAMB468_BREAST	-3.946323971	-3.946323971	-3.946323971	0
HCC1195_LUNG	-3.799995523	-3.799995523	-3.799995523	0
EN_ENDOMETRIUM	-4.19163167	-4.19163167	-4.19163167	0
TE5_OESOPHAGUS	-3.932066835	-1.671908761	-2.144284522	0.071428571
SNU668_STOMACH	-3.742784663	-3.742784663	-3.742784663	0
CORL105_LUNG	-3.780919924	-3.780919924	-3.780919924	0
GCT_SOFT_TISSUE	-4.129076167	-1.483382737	-1.956338015	0.142857143
LN18_CENTRAL_NERVOUS_SYSTEM	-3.737469663	-3.737469663	-3.737469663	0
RERFLCMS_LUNG	-3.840302551	-3.840302551	-3.840302551	0
RT112_URINARY_TRACT	-3.476060925	-3.476060925	-3.476060925	0
LOUNH91_LUNG	-3.930822734	-3.930822734	-3.930822734	0
KNS60_CENTRAL_NERVOUS_SYSTEM	-3.994539004	-1.100232839	-1.576247585	0.071428571
ISTMES2_PLEURA	-3.802234881	-3.802234881	-3.802234881	0
SW579_THYROID	-3.222618771	-3.222618771	-3.222618771	0
MDAMB231_BREAST	-4.446594008	-1.552287843	-2.028302589	0.071428571
HCC1588_LUNG	-4.129667714	-4.129667714	-4.129667714	0
HSC3_UPPER_AERODIGESTIVE_TRACT	-3.741462755	-1.772908469	-2.231073408	0.214285714
MELJUSO_SKIN	0.36816345	1.08069788	0.829906377	0.928571429
NCIH2030_LUNG	-3.83838004	-3.83838004	-3.83838004	0
OVCAR8_OVARY	-3.82095089	-3.82095089	-3.82095089	0
PC14_LUNG	-2.555680068	-1.222665055	-1.549103354	0.214285714
HEC151_ENDOMETRIUM	-4.339245974	-4.339245974	-4.339245974	0
RT4_URINARY_TRACT	-3.607532737	-3.607532737	-3.607532737	0
SKES1_BONE	-3.892647021	-2.890402467	-3.288715764	0.071428571
HT55_LARGE_INTESTINE	-4.04365455	-3.439723292	-3.644216884	0.142857143
MKN45_STOMACH	-1.191663523	-0.683201434	-0.877912259	0.928571429
HEP3B217_LIVER	-3.931548892	-3.931548892	-3.931548892	0
HOS_BONE	-4.010902854	-4.010902854	-4.010902854	0
HUCCT1_BILIARY_TRACT	-4.170331306	-1.343715965	-1.742150187	0.142857143
NCIH292_LUNG	-0.409388744	0.960929027	0.575599589	0.571428571
RERFLCAI_LUNG	-3.949219611	-1.66287296	-2.125578022	0.142857143
LS180_LARGE_INTESTINE	-1.326917003	-0.879575821	-1.054195118	0.928571429
SIMA_AUTONOMIC_GANGLIA	-4.049302566	-4.049302566	-4.049302566	0
CAMA1_BREAST	-3.940981532	-1.141571191	-1.615764118	0.142857143
MDAMB436_BREAST	-3.917218614	-3.917218614	-3.917218614	0
NCIH1435_LUNG	-3.873290334	-3.873290334	-3.873290334	0
SNU1196_BILIARY_TRACT	-2.215715057	-1.132229666	-1.468380332	0.214285714
SNU449_LIVER	-3.973129992	-3.973129992	-3.973129992	0
TE9_OESOPHAGUS	-3.823882622	-3.823882622	-3.823882622	0
ABC1_LUNG	-3.719943412	-3.719943412	-3.719943412	0
NCIH1373_LUNG	-4.085963423	-4.085963423	-4.085963423	0
EBC1_LUNG	-4.014171476	-4.014171476	-4.014171476	0
SKMES1_LUNG	-4.176330683	-4.176330683	-4.176330683	0
HCC56_LARGE_INTESTINE	-4.211168408	-1.285172522	-1.697866466	0.214285714
OUMS23_LARGE_INTESTINE	-4.230188366	-4.230188366	-4.230188366	0
DETROIT562_UPPER_AERODIGESTIVE_TRACT	-3.967727896	-3.967727896	-3.967727896	0
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	-3.799855179	-3.286244209	-3.555746848	0.071428571
SW1088_CENTRAL_NERVOUS_SYSTEM	-3.700093398	-3.700093398	-3.700093398	0
BCPAP_THYROID	-3.152567648	-3.152567648	-3.152567648	0
HDQP1_BREAST	-3.878942837	-3.878942837	-3.878942837	0
BICR56_UPPER_AERODIGESTIVE_TRACT	-3.818402914	-3.818402914	-3.818402914	0
