CCLE_name	in_metmap125	in_metmap500	depmap_id	name	site_of_origin	corrected_site_of_origin	site_of_origin_detail	corrected_site_of_origin_detail	primary_with_met	primary_met_3category	tissue	cancer_type	cancer_subtype	gender	age	age_bin	ethnicity	inferred_ethnicity
TCCSUP_URINARY_TRACT	FALSE	TRUE	ACH-000720	TCCSUP	primary	primary	NA	NA	1	primary_with_met	URINARY_TRACT	bladder cancer	transitional cell carcinoma	female	67	(60,70]	NA	caucasian
HT1376_URINARY_TRACT	FALSE	TRUE	ACH-000724	HT1376	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma	female	58	(50,60]	caucasian	caucasian
UBLC1_URINARY_TRACT	TRUE	TRUE	ACH-000741	UBLC1	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma	female	84	(80,90]	NA	african_american
JMSU1_URINARY_TRACT	FALSE	TRUE	ACH-000753	JMSU1	primary	metastasis	NA	ascites	0	metastasis	URINARY_TRACT	bladder cancer	transitional cell carcinoma	male	75	(70,80]	asian	asian
UMUC1_URINARY_TRACT	FALSE	TRUE	ACH-000834	UMUC1	primary	metastasis	NA	lymph node	0	metastasis	URINARY_TRACT	bladder cancer	transitional cell carcinoma	male	26	(20,30]	african_american	african_american
647V_URINARY_TRACT	TRUE	TRUE	ACH-000896	647V	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma	male	59	(50,60]	NA	caucasian
639V_URINARY_TRACT	FALSE	TRUE	ACH-000973	639V	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma	male	69	(60,70]	caucasian	caucasian
RT4_URINARY_TRACT	FALSE	TRUE	ACH-000242	RT4	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma, papillary	male	63	(60,70]	caucasian	caucasian
BFTC905_URINARY_TRACT	FALSE	TRUE	ACH-000802	BFTC905	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma, papillary	female	51	(50,60]	asian	asian
SW1353_BONE	FALSE	TRUE	ACH-000418	SW1353	primary	primary	NA	NA	0	primary	BONE	bone cancer	chondrosarcoma	female	72	(70,80]	caucasian	caucasian
CAL78_BONE	TRUE	TRUE	ACH-000516	CAL78	primary	primary	NA	NA	0	primary	BONE	bone cancer	chondrosarcoma, dedifferentiated	male	76	(70,80]	NA	caucasian
A673_BONE	TRUE	TRUE	ACH-000052	A673	primary	primary	NA	NA	0	primary	BONE	bone cancer	Ewings sarcoma	female	15	(10,20]	NA	caucasian
SKES1_BONE	FALSE	TRUE	ACH-000087	SKES1	primary	primary	NA	NA	0	primary	BONE	bone cancer	Ewings sarcoma	male	18	(10,20]	caucasian	caucasian
CADOES1_BONE	FALSE	TRUE	ACH-000210	CADOES1	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BONE	bone cancer	Ewings sarcoma	female	19	(10,20]	asian	asian
EWS502_BONE	FALSE	TRUE	ACH-000279	EWS502	NA	primary	NA	NA	0	primary	BONE	bone cancer	Ewings sarcoma	NA	NA	NA	NA	caucasian
MHHES1_BONE	TRUE	TRUE	ACH-000391	MHHES1	metastasis	metastasis	ascites	ascites	0	metastasis	BONE	bone cancer	Ewings sarcoma	male	12	(10,20]	turkish	caucasian
SKNEP1_BONE	FALSE	TRUE	ACH-001192	SKNEP1	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BONE	bone cancer	Ewings sarcoma	female	25	(20,30]	caucasian	na
G292CLONEA141B1_BONE	TRUE	TRUE	ACH-000082	G292CLONEA141B1	primary	primary	NA	NA	0	primary	BONE	bone cancer	osteosarcoma	female	9	(0,10]	caucasian	caucasian
MG63_BONE	FALSE	TRUE	ACH-000359	MG63	primary	primary	NA	NA	0	primary	BONE	bone cancer	osteosarcoma	male	14	(10,20]	caucasian	caucasian
U2OS_BONE	TRUE	TRUE	ACH-000364	U2OS	primary	primary	NA	NA	1	primary_with_met	BONE	bone cancer	osteosarcoma	female	15	(10,20]	caucasian	caucasian
HOS_BONE	FALSE	TRUE	ACH-000613	HOS	primary	primary	NA	NA	1	primary_with_met	BONE	bone cancer	osteosarcoma	female	13	(10,20]	caucasian	caucasian
SJSA1_BONE	FALSE	TRUE	ACH-000748	SJSA1	primary	primary	NA	NA	0	primary	BONE	bone cancer	osteosarcoma, multipotential	male	19	(10,20]	african_american	african_american
SW1088_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000437	SW1088	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	astrocytoma	male	72	(70,80]	caucasian	caucasian
TM31_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000592	TM31	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	astrocytoma	female	42	(40,50]	asian	asian
KNS42_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000622	KNS42	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	astrocytoma	male	16	(10,20]	asian	asian
BECKER_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-001016	BECKER	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	astrocytoma	male	57	(50,60]	NA	caucasian
GOS3_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000027	GOS3	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	55	(50,60]	NA	caucasian
U118MG_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000040	U118MG	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	female	47	(40,50]	NA	caucasian
GAMG_CENTRAL_NERVOUS_SYSTEM	TRUE	TRUE	ACH-000098	GAMG	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	female	42	(40,50]	NA	caucasian
GMS10_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000102	GMS10	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	49	(40,50]	NA	caucasian
8MGBA_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000137	8MGBA	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	female	54	(50,60]	african_american	caucasian
U251MG_CENTRAL_NERVOUS_SYSTEM	TRUE	TRUE	ACH-000232	U251MG	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	75	(70,80]	NA	caucasian
DKMG_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000244	DKMG	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	female	67	(60,70]	NA	caucasian
SNU466_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000289	SNU466	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	61	(60,70]	asian	asian
42MGBA_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000323	42MGBA	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	63	(60,70]	NA	caucasian
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000329	CCFSTTG1	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	female	68	(60,70]	caucasian	caucasian
SNU1105_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000368	SNU1105	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	61	(60,70]	asian	asian
SF295_CENTRAL_NERVOUS_SYSTEM	TRUE	TRUE	ACH-000376	SF295	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	female	67	(60,70]	NA	caucasian
KNS60_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000445	KNS60	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	55	(50,60]	asian	asian
YH13_CENTRAL_NERVOUS_SYSTEM	TRUE	TRUE	ACH-000469	YH13	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	40	(30,40]	asian	asian
KNS81_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000479	KNS81	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	65	(60,70]	asian	asian
A172_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000558	A172	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	53	(50,60]	NA	caucasian
YKG1_CENTRAL_NERVOUS_SYSTEM	TRUE	TRUE	ACH-000570	YKG1	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	female	53	(50,60]	asian	asian
T98G_CENTRAL_NERVOUS_SYSTEM	TRUE	TRUE	ACH-000571	T98G	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	61	(60,70]	caucasian	caucasian
LN229_CENTRAL_NERVOUS_SYSTEM	TRUE	TRUE	ACH-000595	LN229	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	female	60	(50,60]	caucasian	caucasian
SF126_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000609	SF126	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	female	50	(40,50]	NA	caucasian
GB1_CENTRAL_NERVOUS_SYSTEM	TRUE	TRUE	ACH-000738	GB1	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	35	(30,40]	asian	asian
LN18_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000819	LN18	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	male	65	(60,70]	caucasian	caucasian
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000863	DBTRG05MG	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioblastoma	female	59	(50,60]	caucasian	caucasian
KALS1_CENTRAL_NERVOUS_SYSTEM	TRUE	TRUE	ACH-000231	KALS1	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioma	female	74	(70,80]	asian	asian
H4_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000389	H4	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioma	male	37	(30,40]	caucasian	caucasian
SNB75_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000504	SNB75	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	glioma	female	75	(70,80]	NA	caucasian
SF539_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000273	SF539	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	gliosarcoma	female	34	(30,40]	caucasian	caucasian
GI1_CENTRAL_NERVOUS_SYSTEM	TRUE	TRUE	ACH-000756	GI1	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	gliosarcoma	male	61	(60,70]	asian	asian
DAOY_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000211	DAOY	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	medulloblastoma	male	4	(0,10]	caucasian	caucasian
ONS76_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000776	ONS76	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	medulloblastoma	female	2	(0,10]	asian	asian
SNU738_CENTRAL_NERVOUS_SYSTEM	FALSE	TRUE	ACH-000807	SNU738	primary	primary	NA	NA	0	primary	CENTRAL_NERVOUS_SYSTEM	brain cancer	oligodendroglioma	male	40	(30,40]	asian	asian
EFM192A_BREAST	FALSE	TRUE	ACH-000117	EFM192A	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	adenocarcinoma, ERpos_HER2pos	female	46	(40,50]	caucasian	caucasian
CAL120_BREAST	FALSE	TRUE	ACH-000212	CAL120	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	carcinoma, ERneg_HER2neg	female	43	(40,50]	NA	caucasian
MDAMB436_BREAST	FALSE	TRUE	ACH-000573	MDAMB436	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	carcinoma, ERneg_HER2neg	female	43	(40,50]	caucasian	caucasian
HMC18_BREAST	TRUE	TRUE	ACH-000721	HMC18	primary	metastasis	NA	pleural effusion	0	metastasis	BREAST	breast cancer	carcinoma, ERneg_HER2neg	female	35	(30,40]	asian	asian
MDAMB231_BREAST	FALSE	TRUE	ACH-000768	MDAMB231	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	carcinoma, ERneg_HER2neg	female	51	(50,60]	caucasian	caucasian
MDAMB468_BREAST	FALSE	TRUE	ACH-000849	MDAMB468	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	carcinoma, ERneg_HER2neg	female	51	(50,60]	african_american	african_american
CAL51_BREAST	FALSE	TRUE	ACH-000856	CAL51	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	carcinoma, ERneg_HER2neg	female	45	(40,50]	NA	caucasian
MCF7_BREAST	FALSE	TRUE	ACH-000019	MCF7	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	carcinoma, ERpos_HER2neg	female	69	(60,70]	caucasian	caucasian
KPL1_BREAST	FALSE	TRUE	ACH-000028	KPL1	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	carcinoma, ERpos_HER2neg	female	50	(40,50]	asian	caucasian
HCC1428_BREAST	FALSE	TRUE	ACH-000352	HCC1428	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	carcinoma, ERpos_HER2neg	female	49	(40,50]	caucasian	caucasian
CAMA1_BREAST	FALSE	TRUE	ACH-000783	CAMA1	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	carcinoma, ERpos_HER2neg	female	51	(50,60]	caucasian	caucasian
HCC1937_BREAST	FALSE	TRUE	ACH-000223	HCC1937	primary	primary	NA	NA	0	primary	BREAST	breast cancer	ductal carcinoma, ERneg_HER2neg	female	24	(20,30]	caucasian	caucasian
HCC38_BREAST	FALSE	TRUE	ACH-000276	HCC38	primary	primary	NA	NA	1	primary_with_met	BREAST	breast cancer	ductal carcinoma, ERneg_HER2neg	female	50	(40,50]	caucasian	caucasian
BT549_BREAST	FALSE	TRUE	ACH-000288	BT549	primary	primary	NA	NA	0	primary	BREAST	breast cancer	ductal carcinoma, ERneg_HER2neg	female	72	(70,80]	caucasian	caucasian
HCC1143_BREAST	FALSE	TRUE	ACH-000374	HCC1143	primary	primary	NA	NA	0	primary	BREAST	breast cancer	ductal carcinoma, ERneg_HER2neg	female	52	(50,60]	caucasian	caucasian
HCC1806_BREAST	TRUE	TRUE	ACH-000624	HCC1806	primary	primary	NA	NA	0	primary	BREAST	breast cancer	ductal carcinoma, ERneg_HER2neg	female	60	(50,60]	african_american	african_american
HDQP1_BREAST	FALSE	TRUE	ACH-000643	HDQP1	primary	primary	NA	NA	1	primary_with_met	BREAST	breast cancer	ductal carcinoma, ERneg_HER2neg	female	50	(40,50]	caucasian	caucasian
HCC1395_BREAST	TRUE	FALSE	ACH-000699	HCC1395	primary	primary	NA	NA	NA	NA	BREAST	breast cancer	ductal carcinoma, ERneg_HER2neg	female	43	(40,50]	NA	na
JIMT1_BREAST	TRUE	TRUE	ACH-000711	JIMT1	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	ductal carcinoma, ERneg_HER2pos	female	62	(60,70]	NA	caucasian
HCC1954_BREAST	TRUE	FALSE	ACH-000859	HCC1954	primary	primary	NA	NA	NA	NA	BREAST	breast cancer	ductal carcinoma, ERneg_HER2pos	female	61	(60,70]	NA	na
ZR751_BREAST	FALSE	TRUE	ACH-000097	ZR751	metastasis	metastasis	ascites	ascites	0	metastasis	BREAST	breast cancer	ductal carcinoma, ERpos_HER2neg	female	63	(60,70]	caucasian	caucasian
T47D_BREAST	FALSE	TRUE	ACH-000147	T47D	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	ductal carcinoma, ERpos_HER2neg	female	54	(50,60]	NA	caucasian
MDAMB175VII_BREAST	FALSE	TRUE	ACH-000759	MDAMB175VII	metastasis	metastasis	pleura	pleural effusion	0	metastasis	BREAST	breast cancer	ductal carcinoma, ERpos_HER2neg	female	56	(50,60]	african_american	african_american
HCC1419_BREAST	FALSE	TRUE	ACH-000277	HCC1419	primary	primary	NA	NA	1	primary_with_met	BREAST	breast cancer	ductal carcinoma, ERpos_HER2pos	female	42	(40,50]	caucasian	caucasian
BT474_BREAST	FALSE	TRUE	ACH-000927	BT474	primary	primary	NA	NA	0	primary	BREAST	breast cancer	ductal carcinoma, ERpos_HER2pos	female	60	(50,60]	caucasian	caucasian
LS513_LARGE_INTESTINE	FALSE	TRUE	ACH-000007	LS513	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	male	63	(60,70]	caucasian	caucasian
LS1034_LARGE_INTESTINE	FALSE	TRUE	ACH-000252	LS1034	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	male	54	(50,60]	caucasian	caucasian
OUMS23_LARGE_INTESTINE	FALSE	TRUE	ACH-000296	OUMS23	primary	metastasis	NA	pericardial effusion	0	metastasis	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	male	37	(30,40]	asian	asian
NCIH747_LARGE_INTESTINE	FALSE	TRUE	ACH-000403	NCIH747	metastasis	metastasis	lymph_node	lymph node	0	metastasis	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	male	69	(60,70]	caucasian	caucasian
SW837_LARGE_INTESTINE	TRUE	TRUE	ACH-000421	SW837	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	male	53	(50,60]	caucasian	caucasian
HCC56_LARGE_INTESTINE	FALSE	TRUE	ACH-000467	HCC56	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	NA	NA	NA	NA	asian
SNU61_LARGE_INTESTINE	FALSE	TRUE	ACH-000532	SNU61	primary	metastasis	NA	liver	0	metastasis	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	male	48	(40,50]	asian	asian
HT29_LARGE_INTESTINE	FALSE	TRUE	ACH-000552	HT29	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	female	44	(40,50]	caucasian	caucasian
RCM1_LARGE_INTESTINE	FALSE	TRUE	ACH-000565	RCM1	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	female	73	(70,80]	asian	asian
SW620_LARGE_INTESTINE	TRUE	TRUE	ACH-000651	SW620	metastasis	metastasis	lymph_node	lymph node	0	metastasis	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	male	51	(50,60]	caucasian	caucasian
SW948_LARGE_INTESTINE	TRUE	TRUE	ACH-000680	SW948	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	female	81	(80,90]	caucasian	caucasian
SW480_LARGE_INTESTINE	TRUE	TRUE	ACH-000842	SW480	primary	primary	NA	NA	1	primary_with_met	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	male	50	(40,50]	caucasian	caucasian
HT55_LARGE_INTESTINE	FALSE	TRUE	ACH-000926	HT55	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	NA	NA	NA	NA	caucasian
SNUC5_LARGE_INTESTINE	FALSE	TRUE	ACH-000970	SNUC5	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	female	77	(70,80]	asian	asian
SNU81_LARGE_INTESTINE	FALSE	TRUE	ACH-000991	SNU81	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma	male	53	(50,60]	asian	asian
CL34_LARGE_INTESTINE	FALSE	TRUE	ACH-000895	CL34	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	female	NA	NA	NA	caucasian
RKO_LARGE_INTESTINE	TRUE	TRUE	ACH-000943	RKO	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	NA	NA	NA	NA	african_american
LOVO_LARGE_INTESTINE	FALSE	TRUE	ACH-000950	LOVO	metastasis	metastasis	lymph_node	lymph node	0	metastasis	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	male	56	(50,60]	caucasian	caucasian
SNU407_LARGE_INTESTINE	TRUE	TRUE	ACH-000955	SNU407	primary	metastasis	NA	buttock	0	metastasis	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	male	37	(30,40]	asian	asian
LS180_LARGE_INTESTINE	FALSE	TRUE	ACH-000957	LS180	primary	primary	NA	NA	1	primary_with_met	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	female	58	(50,60]	caucasian	caucasian
SW48_LARGE_INTESTINE	FALSE	TRUE	ACH-000958	SW48	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	female	82	(80,90]	caucasian	caucasian
SNUC4_LARGE_INTESTINE	FALSE	TRUE	ACH-000959	SNUC4	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	male	35	(30,40]	asian	asian
SNUC2A_LARGE_INTESTINE	TRUE	TRUE	ACH-000967	SNUC2A	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	female	43	(40,50]	asian	asian
HCT116_LARGE_INTESTINE	FALSE	TRUE	ACH-000971	HCT116	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	male	48	(40,50]	NA	caucasian
GP2D_LARGE_INTESTINE	FALSE	TRUE	ACH-000982	GP2D	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	female	71	(70,80]	NA	caucasian
